nacisnieto klawisz 1, F = 0.000000, wF = 0.100000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
uzytkownik przylozyl sile = 240.000000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
uzytkownik przylozyl sile = 240.000000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
uzytkownik przylozyl sile = 240.000000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = -240.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
nacisnieto klawisz 2, F = 0.000000, wF = 0.200000
uzytkownik przylozyl sile = 1200.000000
nacisnieto klawisz 2, F = 240.000000, wF = 0.200000
